x1,x2,x3
2019-07-17,"1,666","1,666"
2019-07-18,"4,918","6,584"
2019-07-24,"5,733","12,317"
2019-07-25,"1,757","14,074"
2019-07-26,171,"14,245"
2019-07-28,"2,436","16,681"
2019-07-29,"5,022","21,703"
2019-07-30,"17,516","39,219"
2019-07-31,"489,996","529,215"
2019-08-01,"391,904","921,119"
2019-08-02,"474,777","1,395,896"
2019-08-03,"791,268","2,187,164"
2019-08-04,"773,015","2,960,179"
2019-08-05,"417,327","3,377,506"
2019-08-06,"369,415","3,746,921"
2019-08-07,"306,144","4,053,065"
2019-08-08,"277,731","4,330,796"
2019-08-09,"318,642","4,649,438"
2019-08-10,"596,628","5,246,066"
2019-08-11,"532,463","5,778,529"
2019-08-12,"211,799","5,990,328"
2019-08-13,"196,572","6,186,900"
2019-08-14,"201,354","6,388,254"
2019-08-15,"392,871","6,781,125"
2019-08-16,"199,787","6,980,912"
2019-08-17,"308,601","7,289,513"
2019-08-18,"259,257","7,548,770"
2019-08-19,"99,632","7,648,402"
2019-08-20,"94,910","7,743,312"
2019-08-21,"82,331","7,825,643"
2019-08-22,"71,503","7,897,146"
2019-08-23,"87,092","7,984,238"
2019-08-24,"190,750","8,174,988"
2019-08-25,"176,426","8,351,414"
2019-08-26,"59,223","8,410,637"
2019-08-27,"59,214","8,469,851"
2019-08-28,"94,751","8,564,602"
2019-08-29,"44,855","8,609,457"
2019-08-30,"59,268","8,668,725"
2019-08-31,"132,506","8,801,231"
2019-09-01,"105,783","8,907,014"
2019-09-02,"31,594","8,938,608"
2019-09-03,"28,775","8,967,383"
2019-09-04,"29,908","8,997,291"
2019-09-05,"26,040","9,023,331"
2019-09-06,"34,975","9,058,306"
2019-09-07,"78,325","9,136,631"
2019-09-08,"78,687","9,215,318"
2019-09-09,"20,625","9,235,943"
2019-09-10,"19,887","9,255,830"
2019-09-11,"9,494","9,265,324"
2019-09-12,"25,837","9,291,161"
2019-09-13,"37,835","9,328,996"
2019-09-14,"37,419","9,366,415"
2019-09-15,"20,668","9,387,083"
2019-09-16,"4,977","9,392,060"
2019-09-17,"3,188","9,395,248"
2019-09-18,"2,136","9,397,384"
2019-09-19,"1,396","9,398,780"
2019-09-20,"1,564","9,400,344"
2019-09-21,"4,078","9,404,422"
2019-09-22,"3,421","9,407,843"
2019-09-23,"1,008","9,408,851"
2019-09-24,"1,969","9,410,820"
2019-09-25,241,"9,411,061"
2019-09-26,418,"9,411,479"
2019-09-27,162,"9,411,641"
2019-09-28,266,"9,411,907"
2019-09-29,251,"9,412,158"
2019-09-30,287,"9,412,445"
2019-10-01,573,"9,413,018"
2019-10-02,48,"9,413,066"
2019-10-03,21,"9,413,087"
2019-10-04,15,"9,413,102"
2019-10-05,17,"9,413,119"
2019-10-06,46,"9,413,165"
2019-10-07,44,"9,413,209"
2019-10-08,276,"9,413,485"
2019-10-09,39,"9,413,524"
2019-10-10,3,"9,413,527"
2019-10-11,6,"9,413,533"
2019-10-12,162,"9,413,695"
2019-10-13,1,"9,413,696"
2019-10-14,163,"9,413,859"
2019-10-15,2,"9,413,861"
2019-10-16,2,"9,413,863"
2019-10-17,3,"9,413,866"
2019-10-18,502,"9,414,368"
2019-10-19,9,"9,414,377"
2019-10-20,8,"9,414,385"
2019-10-21,5,"9,414,390"
2019-10-22,129,"9,414,519"
2019-10-23,419,"9,414,938"
2019-10-24,4,"9,414,942"
2019-10-25,637,"9,415,579"
2019-10-26,6,"9,415,585"
2019-10-27,9,"9,415,594"
2019-10-28,205,"9,415,799"
2019-10-29,"2,309","9,418,108"
2019-10-30,216,"9,418,324"
2019-10-31,357,"9,418,681"
2019-11-02,2,"9,418,683"
2019-11-03,166,"9,418,849"
2019-11-04,1,"9,418,850"
2019-11-05,80,"9,418,930"
2019-11-07,478,"9,419,408"
2019-11-08,450,"9,419,858"
2019-11-10,133,"9,419,991"
2019-11-13,264,"9,420,255"
2019-11-14,650,"9,420,905"
2019-11-15,79,"9,420,984"
2019-11-16,360,"9,421,344"
2019-11-20,496,"9,421,840"
2019-11-21,400,"9,422,240"
2019-11-22,585,"9,422,825"
2019-11-23,131,"9,422,956"
2019-11-25,144,"9,423,100"
2019-11-26,380,"9,423,480"
2019-11-27,238,"9,423,718"
2019-11-28,303,"9,424,021"
2019-11-29,82,"9,424,103"
2019-11-30,331,"9,424,434"
2019-12-02,143,"9,424,577"
2019-12-03,181,"9,424,758"
2019-12-04,116,"9,424,874"
2019-12-05,180,"9,425,054"
2019-12-07,240,"9,425,294"
2019-12-13,201,"9,425,495"
2019-12-16,132,"9,425,627"
