x1,x2,x3
2019-10-28,414,414
2019-10-29,"4,059","4,473"
2019-10-30,"6,200","10,673"
2019-11-04,"1,695","12,368"
2019-11-05,"2,928","15,296"
2019-11-06,"3,117","18,413"
2019-11-07,"176,063","194,476"
2019-11-08,"188,753","383,229"
2019-11-09,"353,140","736,369"
2019-11-10,"334,598","1,070,967"
2019-11-11,"132,862","1,203,829"
2019-11-12,"105,215","1,309,044"
2019-11-13,"88,872","1,397,916"
2019-11-14,"75,891","1,473,807"
2019-11-15,"81,750","1,555,557"
2019-11-16,"151,162","1,706,719"
2019-11-17,"131,850","1,838,569"
2019-11-18,"48,431","1,887,000"
2019-11-19,"39,796","1,926,796"
2019-11-20,"42,659","1,969,455"
2019-11-21,"21,121","1,990,576"
2019-11-22,"27,732","2,018,308"
2019-11-23,"36,187","2,054,495"
2019-11-24,"30,676","2,085,171"
2019-11-25,"17,178","2,102,349"
2019-11-26,"16,393","2,118,742"
2019-11-27,"7,664","2,126,406"
2019-11-28,"4,827","2,131,233"
2019-11-29,"4,338","2,135,571"
2019-11-30,"8,037","2,143,608"
2019-12-01,"4,223","2,147,831"
2019-12-02,"2,610","2,150,441"
2019-12-03,"3,016","2,153,457"
2019-12-04,208,"2,153,665"
2019-12-05,973,"2,154,638"
2019-12-06,150,"2,154,788"
2019-12-07,140,"2,154,928"
2019-12-08,91,"2,155,019"
2019-12-09,205,"2,155,224"
2019-12-10,135,"2,155,359"
2019-12-11,79,"2,155,438"
2019-12-12,13,"2,155,451"
2019-12-13,64,"2,155,515"
2019-12-14,39,"2,155,554"
2019-12-15,42,"2,155,596"
2019-12-16,61,"2,155,657"
2019-12-17,90,"2,155,747"
