x1,x2,x3
2019-01-09,406,406
2019-01-10,"3,279","3,685"
2019-01-15,"2,201","5,886"
2019-01-16,"5,094","10,980"
2019-01-17,"7,746","18,726"
2019-01-18,432,"19,158"
2019-01-21,"1,823","20,981"
2019-01-22,"3,210","24,191"
2019-01-23,"368,582","392,773"
2019-01-24,"331,924","724,697"
2019-01-25,"386,371","1,111,068"
2019-01-26,"995,406","2,106,474"
2019-01-27,"1,033,089","3,139,563"
2019-01-28,"397,188","3,536,751"
2019-01-29,"358,186","3,894,937"
2019-01-30,"564,825","4,459,762"
2019-01-31,"350,685","4,810,447"
2019-02-01,"462,875","5,273,322"
2019-02-02,"962,555","6,235,877"
2019-02-03,"1,058,680","7,294,557"
2019-02-04,"975,927","8,270,484"
2019-02-05,"1,130,176","9,400,660"
2019-02-06,"1,131,697","10,532,357"
2019-02-07,"460,448","10,992,805"
2019-02-08,"409,794","11,402,599"
2019-02-09,"776,215","12,178,814"
2019-02-10,"660,049","12,838,863"
2019-02-11,"214,339","13,053,202"
2019-02-12,"198,064","13,251,266"
2019-02-13,"172,086","13,423,352"
2019-02-14,"167,585","13,590,937"
2019-02-15,"191,503","13,782,440"
2019-02-16,"405,476","14,187,916"
2019-02-17,"348,325","14,536,241"
2019-02-18,"114,307","14,650,548"
2019-02-19,"114,270","14,764,818"
2019-02-20,"91,845","14,856,663"
2019-02-21,"82,354","14,939,017"
2019-02-22,"93,652","15,032,669"
2019-02-23,"199,025","15,231,694"
2019-02-24,"185,583","15,417,277"
2019-02-25,"65,055","15,482,332"
2019-02-26,"61,140","15,543,472"
2019-02-27,"89,179","15,632,651"
2019-02-28,"66,832","15,699,483"
2019-03-01,"134,879","15,834,362"
2019-03-02,"112,618","15,946,980"
2019-03-03,"82,814","16,029,794"
2019-03-04,"26,877","16,056,671"
2019-03-05,"25,684","16,082,355"
2019-03-06,"12,235","16,094,590"
2019-03-07,"12,010","16,106,600"
2019-03-08,"13,978","16,120,578"
2019-03-09,"28,632","16,149,210"
2019-03-10,"29,335","16,178,545"
2019-03-11,"10,946","16,189,491"
2019-03-12,"11,755","16,201,246"
2019-03-13,"9,226","16,210,472"
2019-03-14,"5,386","16,215,858"
2019-03-15,"5,416","16,221,274"
2019-03-16,"11,243","16,232,517"
2019-03-17,"10,714","16,243,231"
2019-03-18,"4,531","16,247,762"
2019-03-19,"4,813","16,252,575"
2019-03-20,"1,205","16,253,780"
2019-03-21,"1,248","16,255,028"
2019-03-22,932,"16,255,960"
2019-03-23,"1,170","16,257,130"
2019-03-24,989,"16,258,119"
2019-03-25,620,"16,258,739"
2019-03-26,575,"16,259,314"
2019-03-27,592,"16,259,906"
2019-03-28,398,"16,260,304"
2019-03-29,196,"16,260,500"
2019-03-30,285,"16,260,785"
2019-03-31,224,"16,261,009"
2019-04-01,148,"16,261,157"
2019-04-02,178,"16,261,335"
2019-04-03,37,"16,261,372"
2019-04-04,18,"16,261,390"
2019-04-05,30,"16,261,420"
2019-04-06,71,"16,261,491"
2019-04-07,42,"16,261,533"
2019-04-08,22,"16,261,555"
2019-04-09,31,"16,261,586"
2019-04-10,5,"16,261,591"
2019-04-11,91,"16,261,682"
2019-04-12,14,"16,261,696"
2019-04-13,7,"16,261,703"
2019-04-14,2,"16,261,705"
2019-04-15,3,"16,261,708"
2019-04-16,3,"16,261,711"
2019-04-18,3,"16,261,714"
2019-04-20,4,"16,261,718"
2019-04-21,4,"16,261,722"
2019-04-22,100,"16,261,822"
2019-04-23,4,"16,261,826"
2019-04-24,139,"16,261,965"
2019-04-26,4,"16,261,969"
2019-04-27,4,"16,261,973"
2019-04-28,2,"16,261,975"
2019-04-29,5,"16,261,980"
2019-04-30,1,"16,261,981"
2019-05-01,2,"16,261,983"
2019-05-06,7,"16,261,990"
2019-05-07,2,"16,261,992"
2019-05-08,162,"16,262,154"
2019-05-09,35,"16,262,189"
2019-05-14,105,"16,262,294"
2019-05-16,105,"16,262,399"
2019-05-17,162,"16,262,561"
2019-05-29,266,"16,262,827"
2019-05-30,247,"16,263,074"
2019-06-04,40,"16,263,114"
2019-06-17,86,"16,263,200"
2019-06-25,160,"16,263,360"
2019-07-01,104,"16,263,464"
2019-07-04,61,"16,263,525"
2019-07-16,117,"16,263,642"
2019-07-18,117,"16,263,759"
2019-07-19,372,"16,264,131"
2019-07-22,92,"16,264,223"
2019-07-23,81,"16,264,304"
2019-07-24,92,"16,264,396"
2019-07-25,185,"16,264,581"
2019-07-26,225,"16,264,806"
2019-08-21,5,"16,264,811"
2019-08-24,53,"16,264,864"
2019-09-03,40,"16,264,904"
2019-09-04,40,"16,264,944"
2019-10-08,40,"16,264,984"
2019-10-24,110,"16,265,094"
2019-11-12,0,"16,265,094"
2019-11-16,0,"16,265,094"
2019-11-22,80,"16,265,174"
2019-11-28,230,"16,265,404"
2019-11-29,90,"16,265,494"
2019-12-04,124,"16,265,618"
